Time,"Idle","Exceptions","Event Recorder"
0.005120,,,0xf00b,
0.007459,,,0xf010,
0.007549,,,0xf00b,
0.007860,,,0xf00b,
0.017459,,,0xf010,
0.017549,,,0xf00b,
0.017860,,,0xf00b,
0.024688,,,0xf00b,
0.034319,,,0xf010,
0.034409,,,0xf00b,
0.034688,,,0xf00b,
0.044319,,,0xf010,
0.044409,,,0xf00b,
0.044688,,,0xf00b,
0.054319,,,0xf010,
0.054409,,,0xf00b,
0.054688,,,0xf00b,
0.064319,,,0xf010,
0.064409,,,0xf00b,
0.064688,,,0xf00b,
0.074319,,,0xf010,
0.074409,,,0xf00b,
0.074688,,,0xf00b,
0.084319,,,0xf010,
0.084409,,,0xf00b,
0.084688,,,0xf00b,
0.094319,,,0xf010,
0.094409,,,0xf00b,
0.094688,,,0xf00b,
0.104319,,,0xf010,
0.104409,,,0xf00b,
0.104688,,,0xf00b,
0.114319,,,0xf010,
0.114409,,,0xf00b,
0.114688,,,0xf00b,
0.124319,,,0xf010,
0.124409,,,0xf00b,
0.124688,,,0xf00b,
0.134319,,,0xf010,
0.134409,,,0xf00b,
0.134688,,,0xf00b,
0.144319,,,0xf010,
0.144409,,,0xf00b,
0.144688,,,0xf00b,
0.154319,,,0xf010,
0.154409,,,0xf00b,
0.154688,,,0xf00b,
0.164319,,,0xf010,
0.164409,,,0xf00b,
0.164688,,,0xf00b,
0.174319,,,0xf010,
0.174409,,,0xf00b,
0.174688,,,0xf00b,
0.184319,,,0xf010,
0.184409,,,0xf00b,
0.184688,,,0xf00b,
0.194319,,,0xf010,
0.194409,,,0xf00b,
0.194688,,,0xf00b,
0.204319,,,0xf010,
0.204409,,,0xf00b,
0.204688,,,0xf00b,
0.214319,,,0xf010,
0.214409,,,0xf00b,
0.214688,,,0xf00b,
0.224319,,,0xf010,
0.224409,,,0xf00b,
0.224688,,,0xf00b,
0.234319,,,0xf010,
0.234409,,,0xf00b,
0.234688,,,0xf00b,
0.244319,,,0xf010,
0.244409,,,0xf00b,
0.244688,,,0xf00b,
0.254319,,,0xf010,
0.254409,,,0xf00b,
0.254688,,,0xf00b,
0.264319,,,0xf010,
0.264409,,,0xf00b,
0.264688,,,0xf00b,
0.274319,,,0xf010,
0.274409,,,0xf00b,
0.274688,,,0xf00b,
